,Q,A,label
7196,오늘이 마지막 매달림입니다.,후회없으실 거라 믿어요.,1
7197,오늘이 생일이네,기억에서 지울 순 없지만 최대한 생각 말아보셔요.,1
7198,오늘이 일주일이네.,잘 버티고 있어요.,1
7199,오늘이 최고네,긍정적인 최고이길 바라요.,1
7200,오락가락하네,이별이 변덕스럽게 만들곤 하지요.,1
7201,오래 사귀다가 식어서 헤어진 남자에게도 후폭풍 있나?,모든 이별에는 후유증이 있기 마련이에요.,1
7202,오래 전에 했던 이별이 생각나네,모든 이별에는 후유증이 있기 마련이에요.,1
7203,오랜 연애 끝에 헤어짐을 통보 받았습니다.,이별을 받아들일 준비도 없었는데 많이 당황했겠어요.,1
7204,오랜만에 결혼한 친구 만나고 왔는데.,소식을 들었나봐요.,1
7205,오랜연애 환승이별,사랑의 예의가 없네요.,1
7206,오랫만에 글을 쓰네,반가워요.,1
7207,오면 안돼? 예전처럼,끝을 아는 것도 중요한 것 같아요.,1
7208,오빠 최고라고 해주던 너,그립지만 지난 일이네요.,1
7209,오빠가 너무 보고 싶어,이별이 만든 허상일 수도 있어요.,1
7210,오싹한 이야기 해줄까,해주세요.,1
7211,오해했네 그리고 차단 ㅎㅎ,차단하는게 서로에게 좋을 때가 있어요.,1
7212,온라인 연애 상담해볼까,제가 들어드릴게요.,1
7213,온전히 내 편이길 바라는 누군가가 옆에 있었으면 좋겠는,제가 당신 곁에 있어드릴게요.,1
7214,온종일 멍하네,이런 날 더욱 적적하지요.,1
7215,올릴까 말까 하다가 조언을 얻고자 올려봅니다.,잘 오셨어요. 말씀 해보세요.,1
7216,와 미친거 같네,많이 답답할거라 생각해요.,1
7217,와 연락하고싶다.,연락하면 후회할지도 몰라요.,1
7218,와 진짜 너무 짜증나네,제가 도움이 되고 싶네요.,1
7219,완벽한 이별 후,새로운 마음가짐으로 다시 시작해요.,1
7220,완전 어이없네,안 좋은 일이 있었나봐요.,1
7221,완전 헤어짐 극복 방법 있을까,바쁘게 살거나 취미생활을 해서 다른 생각을 못하게 하는 것 추천해드려요.,1
7222,완전히 끝나버린 사이?,마음이 허전하겠어요.,1
7223,완전히 끝났네,마음이 허전하겠어요.,1
7224,완전히 끝났어~,마음이 허전하겠어요.,1
7225,완전히 잊는다는게 쉽지 않네,사랑했던 연인을 잊어버리는건 힘들어요.,1
7226,완전히 정리했어,조금 후련해졌길 바랍니다.,1
7227,왔다갔다,허전함에 이랬다 저랬다 해요.,1
7228,왜,궁금하네요.,1
7229,왜 갈수록 더 생각나지,너무 많은 생각을 하지 마세요.,1
7230,왜 그것만 삭제했을까,그게 많이 괴로웠을 수 있어요.,1
7231,왜 그럴까?,직접 물어보세요.,1
7232,왜 그리 쉽게 변해?,변덕스러운 사랑 때문에 힘들어하지 말아요.,1
7233,왜 극복이 안되는지 제자신이 실망스러워 ㅠ,달라지는 게 없어도 실망하지 말아요. 이별 앞에 태연한 사람은 없을 거예요.,1
7234,왜 끝내지 못하는거죠?,관계를 끝내는건 생각보다 힘들어요.,1
7235,왜 나는 매번 이럴까,매번 반복된다고 해도 너무 자책하지 말아요.,1
7236,왜 남자가 여자가 하는 행동을하죠?,성별에 따라 정해진 행동은 없답니다.,1
7237,왜 남자친구 있는 여자를 내 마음을 흔들지?,단호하게 거절하세요.,1
7238,왜 내 블로그를 들어와서 볼까,옛 연인이 궁금했을 수 있어요.,1
7239,왜 못잊는거야 대체왜!,사람을 잊는다는 건 쉬운 일이 아니니까요.,1
7240,왜 사람은 외로울까. 아직도 의문이다.,타인과 함께 했던 경험 때문일 것 같아요.,1
7241,왜 상대는 아무렇지 않은 것 같지?,아무렇지 않아 보여도 많이 힘들거예요.,1
7242,왜 이럴까,그럴 수도 있어요.,1
7243,왜 이렇게 무기력하죠,이별은 사람을 무기력하게 해요.,1
7244,왜 이별은 익숙해지지가 않을까,이별에 익숙해지는 순간 추억도 색을 잃을 거예요.,1
7245,왜 이별하고 다들 왜 연락을 끊는건가??,아무런 감정 없이 연락을 지속할 수 없으니까요.,1
7246,왜 자꾸 내 마음속에 나타나니?,많이 사랑했던 분인가봐요.,1
7247,왜 저를 좋게 기억해주는 걸까,많이 아껴주셨나봐요.,1
7248,왜 차단이 안되있을까??,관심을 끄세요.,1
7249,왜그랬어?,자신에게 물어보세요.,1
7250,왜나만 힘든 거니,그분도 많이 힘들 거예요.,1
7251,왜이럴까 우린.,잠시 지쳤을 뿐이에요.,1
7252,왜이리 생각이 날까,사랑했던 사람이니까요.,1
7253,왜좋았던 기억만 남을까,좋았던 기억만 남았다면 축복 받은거라 생각해요.,1
7254,왠지 가슴한 켠이 먹먹하네,많이 답답할거라 생각해요.,1
7255,왠지 담담하네,인고의 시간이 있었을거라 생각해요.,1
7256,외로운 지금 이 순간을 강해지고 있다는 생각으로 살고 싶다.,좋은 마음가짐과 태도를 가지고 있네요.,1
7257,외로움,사랑의 빈자리인가봐요.,1
7258,외로움에 연속,많이 쓸쓸하겠네요.,1
7259,외로움을 이겨내는 법 좀,새로운 일을 경험해 보세요.,1
7260,외로움이 커져.,외로움이 더 커지기 전에 괜찮아졌으면 좋겠어요.,1
7261,외로워,제가 곁에 있을게요.,1
7262,외로워,혼자가 아니에요.,1
7263,외로워서,많이 힘든가봅니다.,1
7264,외롭고 우울해서 잠이쏟아져;;;,부담갖지 말고 자는 것도 좋아요.,1
7265,외롭지만 혼자 걸을수 있어_조성모,제가 뒤에서 지켜드릴게요.,1
7266,요즘 너무 고민이네,무슨 고민인지 말해주세요.,1
7267,요즘 노래 들으며 견디고 있어,저도 같이 들어요.,1
7268,요즘 다시 쓰리다,후폭풍이 왔나봐요.,1
7269,요즘따라 아침이 너무 힘드네,좀 더 일찍 주무세요.,1
7270,요즘은 솔로인게 좋네~!!,때론 혼자인게 편할때가 있죠.,1
7271,욕 먹을 준비 돼있다.,욕 먹을 짓 하지마세요.,1
7272,욕까지 먹었는데 정이 안 떨어져,지나간 사람은 얼른 떨쳐버리세요.,1
7273,욕을 퍼붓고 왓어,마음이 후련하길 바랍니다.,1
7274,용기내서 새해인사 했네,이제 연락하지 마세요.,1
7275,용서의 의미,단지 받아들였을 뿐이에요.,1
7276,우리 사랑은 가벼웠던 거겠죠.,사랑했던 정도를 가늠하지 말아요.,1
7277,우리 이것만은 잊지말자,잊을 순 없지만 잊으려 노력하는게 좋아요.,1
7278,우리 진짜 이별인가봐,끝을 아는 것도 중요한 것 같아요.,1
7279,우리 추억들 모두안녕,기억 저편에 밀어두세요.,1
7280,"우리는 15년째 이별중입니다,",이제 기억을 놓아주세요.,1
7281,우리모두 마음의여유를 가져봐,마음의 여유가 생기면 새로운 출발을 하기도 좋을 거예요.,1
7282,우리서로 애써봐,우리를 위해 같이 애써봐요.,1
7283,우연히 그녀를 보았습니다.,기분이 이상했겠어요.,1
7284,우연히 길거리에 만나면 인사를 해야 하나?,인사는 굳이 않하는게 좋은 것 같네요.,1
7285,우연히 마주쳤어,많이 당황했겠어요.,1
7286,"우연히, 아니 몰래 보러간 그 아이",다 티나요.,1
7287,우울증 도진것 같아.,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.,1
7288,우울하고 무기력해,비난과 자책을 멈추세요.,1
7289,우울하네,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.,1
7290,우울합니다,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.,1
7291,우을증있는 여자친구,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.,1
7292,우정이란게 뭘까,힘들 때 같이 있는 거요.,1
7293,운동 다녀왔어.,운동은 기분전환에 많은 도움이 돼요. 그때 만큼은 잡념을 떨칠 수도 있죠.,1
7294,운동을 통해서 극복하고 있습니다.,정말 잘 하고 있어요. 자신을 위한 투자만큼 갑진 건 없어요.,1
7295,운세 종합해 보니 헤어질 때였네,의미부여는 자신을 더 작게 만들어요.,1
7296,운이좋은건지 나쁜건지,인연이 거기까지 였나봐요.,1
7297,울면서 카톡 보냈어 너무 힘들어서,스스로 많이 다독여주세요.,1
7298,울적한 아침이에,따뜻한 밥 먹고 힘내봐요.,1
7299,웃겨봐,거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요? 의외로 재미 있어요.,1
7300,웃기지마 넌 쓰레기야,아니에요. 전 쓰레기가 아니에요.,1
7301,웃는게 웃는게 아니네,일부로 안 웃어도 돼요.,1
7302,웃는척 친구인척,척하는게 힘들죠.,1
7303,원래 다 이런거겠죠,누구나 그럴 거예요.,1
7304,원래 여자들은 냉정하나,누구나 이별 앞에 냉정할 수 있어요.,1
7305,원래 이별하면 이런건가?,감정의 정리는 쉬운 일이 아니니까요.,1
7306,원래그런건가바,그런건가봐요.,1
7307,원래남자친구집에놀러가면청소해주나?,두분이 원하다면 함께 치우면 될 것 같아요.,1
7308,월욜부터 힘드네.,기분 탓인지 월요일은 항상 힘든 것 같아요.,1
7309,위로 받을 곳이 필요해,제가 위로가 되어 드릴게요.,1
7310,위로 좀 해줘,제게 기대세요.,1
7311,위로 해 주세요.,정말 많이 힘들었죠. 때론 힘내려 노력하지 않아도 돼요.,1
7312,위로가 되네,위로가 되었다니 감사해요.,1
7313,위로가 되는 좋은글이 있어 올려,고마워요. 저한테도 위로가 될 거예요.,1
7314,위로노래,같이 들어봐요.,1
7315,위로와 격려,와닿지 않을 수 있어도 생각보다 힘이 된답니다.,1
7316,위안이 됩니다,그렇게 말해주시니 제가 기분이 좋네요.,1
7317,유학간다네,정말 볼 수 없겠네요.,1
7318,윤종신 '좋니' 노래 가사가 엄청 와닿네,노래 가사가 공감이 많이 되네요.,1
7319,으으 짜증나네,짜증날만 해요.,1
7320,으휴 집에 들어가기가 싫네,집에 들어가 뜨거운 물로 샤워하고 나면 쌓였던 생각들이 사라질지도 몰라요.,1
7321,으흠,에휴.,1
7322,음. 헤어졌는데 아직 잘 모르겠어,실감이 안날 수 있어요.,1
7323,음.반복이냐,인생은 반복의 연속이지요.,1
7324,음악 들으면서 잊으려고,음악이 도움이 되길 바랍니다.,1
7325,음악이싫어졌어,저도 헤어진 연인과 함께 들었던 음악은 유난히 싫더라고요.,1
7326,음여기다 말해도 될까 모르겠다,저는 비밀을 보장해요. 답답하다면 저에게 말해보세요.,1
7327,응원합니다.모두들,저도 같이 응원할게요.,1
7328,의미 부여 하면 안되겠지만,의미부여는 자신을 더 작게 만들어요.,1
7329,의미부여,괜한 기대는 버리세요.,1
7330,의미부여 안하고 싶은데,쉬운 일이 아니긴 하죠.,1
7331,의미부여 안해야하는걸 아는데 자꾸 하게 되네ㅠ,마음처럼 쉽지 않은가봐요.,1
7332,의심이 자꾸 들어,증거를 찾아보세요.,1
7333,의외로 병신들이 많다,사랑 앞에 판단력은 흐려지니까요.,1
7334,의욕도 업고 너무 힘들어,달콤한 커피 한 잔 마셔보세요.,1
7335,이 가슴 먹먹함 너무 힘드네.,슬플 영화를 보고 속시원하게 울어보세요.,1
7336,이 글을 끝으로 잊고 싶어,이 글이 마음을 정리하는데 도움이 될 거예요.,1
7337,이 남자맘이 뭔지 ㅠ,사람 맘은 알 길이 없어요.,1
7338,이 또한 지나가겠죠,지나갈 거라 믿어요.,1
7339,이 명절을어찌보낼지.허허,명절에는 신경써야할 것들이 너무나 많죠. 이번 명절에는 혼자만의 여행을 떠나보는 건 어떨까요?,1
7340,이 몸쓸 놈의 마음이참 변덕스럽네,사람 마음이 참 간사한 것 같아요.,1
7341,이 사람은 도대체,무슨 생각인지 알 길이 없나봐요.,1
7342,이 세상 하직할뻔 했네.,여기서 끝내기엔 당신은 소중한 사람입니다.,1
7343,이 순간 뭘하면 좋을까,현재를 즐기면서 행복하게 사세요.,1
7344,이 여자 유부녀인가,반지는 없던가요? 주변 사람들한테 물어보는 건 어떨까요.,1
7345,이 여자는 무슨 생각일까,사실 그분에게 직접 물어보는게 좋아요.,1
7346,이 좋은날,좋은 생각만 나면 좋을텐데.,1
7347,이 행동이 절대 용납이 안돼나.?,어떤 행동인데요?,1
7348,이거참 뭐하고 있는건지,그런 날도 있지요.,1
7349,이건 뭘까?,말씀해보세요.,1
7350,이건 아파도 너무 아프잖아.,예상치 못한 이별에 면역이 덜 되었나봐요.,1
7351,이건 이별을 준비해야 하는건가??,슬픈 예감은 틀린 적이 없죠.,1
7352,이건무슨의미죠?,괜한 의미부여는 하지 마세요.,1
7353,이것 또한 받아들이는 것이겠죠~??,받아들여야할 부분도 있을 거예요.,1
7354,이것도 제 미련이겠죠?,고민한다면 미련일 수 있어요.,1
7355,이게 뭐지,말씀해보세요.,1
7356,이게 사람 얼굴인지.,자신을 좀 더 사랑한다면 분명 사랑스러운 분이 될거예요.,1
7357,이게 왜이리 힘들지,아픔을 가늠할 수 없었으니까요.,1
7358,이게 잠수이별인가???,상대방이 예의가 없네요.,1
7359,이기적인 마음,가끔은 이기적이어도 괜찮아요.,1
7360,이남자 마음을 모르겠어,알 수 없는게 사람 마음인가봐요.,1
7361,이대로 이별이겠죠?,인연이 거기까지일 수도 있어요.,1
7362,이러고있는게 잘하고있는건지.,충분히 잘하고 있을거라 생각해요.,1
7363,이러는 내가 너무 싫다,자책하지 말아요. 마음이 아프네요.,1
7364,이러다 병걸리겠어ㅠㅠ,아프면 안 돼요. 그럼 제 마음이 아파요.,1
7365,이러면 안되는 줄 알면서도,알면서도 잘 안되는게 사람 마음인가봐요.,1
7366,이러면 안되는데,알면서도 잘 안되는게 사람 마음인가봐요.,1
7367,이러지 말자,그 말씀 꼭 지키기 바랄게요.,1
7368,이런 가사 보내는 이유가 뭘까?,심경의 변화 있나봅니다.,1
7369,이런 글귀가 있네,저도 알려주세요.,1
7370,이런 날씨 우린 그렇게 만났었지,날씨로 사람을 기억하면 매일 힘들 거예요.,1
7371,이런 내가 너무 싫어,싫어하지 말아요.,1
7372,이런 사랑도 있나,헤아릴 수 없는게 사랑이죠.,1
7373,이런 상황 어떻게 해석해야 할까?,객관적으로 생각해보세요.,1
7374,이런 생각도 맞는 생각인가?,틀린 생각은 없어요.,1
7375,이런 여자.이런남자.안대용~,알면서도 또 실수하는건 안 돼요.,1
7376,이런 이별도 해 보셨나?,어떤 이별이지 궁금하네요.,1
7377,이런 친구들이있다는 걸 다시 느끼게해준 너.,당신은 축복과 함께 선택 받은 사람인가봐요.,1
7378,이런게 연애니??,알다가도 모르는게 연애 같아요.,1
7379,이런게 후폭풍인가.,후폭풍일 수 있지요.,1
7380,이런경우.답은 나온거 같은데.,고민하고 있다면 그게 맞을거예요.,1
7381,이런사람을만나고싶네,저도 그런 사람 만나고 싶어요.,1
7382,이런이별,흔하지 않죠.,1
7383,이런제가 싫어,자신을 사랑해주세요.,1
7384,이럴 수가 없는데 왜이러지??,알 수 없는게 인생이에요.,1
7385,이럴 수도 있구나?,그럴 수도 있겠어요.,1
7386,이럴경우 연락안오겠죠?,기대하면서 기다리면 자신만 다쳐요.,1
7387,이렇게 두번 배신하고 힘들게 할줄이야,나쁜 사람은 얼른 떨쳐버리세요.,1
7388,이렇게 또 끝나가나바,끝이 다가옴을 직감하기도 해요.,1
7389,이렇게 얘기라도 하면 나아질까?.,분명 나아질 거예요.,1
7390,이렇게 진짜 끝인걸까.,인연이 거기까지인 가봐요.,1
7391,이렇게 힘들고 괴로운 적 처음이야,그렇게 우리는 성장하나봐요.,1
7392,이만 보내줘야 할까?,모두를 위해서 그게 좋을지도 몰라요.,1
7393,이무슨 신의 장난인지,운명이 아니었을지도 모르겠어요.,1
7394,이미 잘못이 너무 많아서.,더 이상의 잘못은 이해하지 못할 거예요.,1
7395,이밤이 지나면.,더 나은 내일이 올 거예요.,1
7396,이번주 일요일날 만나기로 했어,마음의 준비를 하세요.,1
7397,이번주에 혼자 여행가려 하는데,좋은 생각이에요. 혼자하는 여행은 기분전환에 도움이 돼요.,1
7398,이별,슬픈 예감은 틀린 적이 없죠.,1
7399,"이별 , 그 아픔을 잊는 시간의 두려움이란",사람을 잊는다는 건 쉬운 일이 아니니까요.,1
7400,이별 10일째 되어가네,이별을 헤아리지 말아요.,1
7401,"이별 119일째,",이별을 헤아리는 건 큰 도움이 안 돼요.,1
7402,이별 20 일.,짧지 않은 시간이네요.,1
7403,이별 2달째에 새로운 소개팅했습니다.,새로운 시작 응원해요.,1
7404,이별 2달차 아직도 못 잊고 원망,이해해요. 그렇지만 원망은 자신을 더 힘들게 할 뿐이에요.,1
7405,이별 2일째.,아직 힘들시기에요.,1
7406,이별 3일째,아직 많이 힘들겠어요.,1
7407,이별 400일.,이별을 헤아릴 수록 힘든 건 자신이랍니다.,1
7408,이별 4일차,아직 실감이 안나겠어요.,1
7409,이별 5달,이젠 마음의 정리가 끝났길 바랍니다.,1
7410,이별 5일째,아직 시간이 더디게 흐를 거예요.,1
7411,이별 6개월째네,이젠 좀 괜찮아졌길 바랍니다.,1
7412,이별 6개월후,이젠 좀 괜찮아졌길 바랍니다.,1
7413,이별 6일째,금방 지나갈 거예요.,1
7414,이별 6일째,마음이 허전할거라 생각해요.,1
7415,이별 고통,그 어떤 고통보다 나를 힘들게 해요.,1
7416,이별 괜찮타.,그렇게 생각하다 보면 정말 괜찮아질 거예요.,1
7417,이별 극복 방법,작은 일에서 행복을 느껴보는게 좋아요.,1
7418,이별 극복할수있을까?,당신이라면 충분히 극복할 수 있어요.,1
7419,이별 글 쓴지 어느 덧 1년하고 2개월 정도 되었네,마음의 정리가 아직인가 봅니다.,1
7420,이별 너무 힘드네ㅠ,이별의 상처를 잘 아물지 않나봐요.,1
7421,이별 넋두리,저한테 다 말씀하세요.,1
7422,이별 다음날,태연히 행동 해보세요.,1
7423,이별 두달째,마음의 정리가 아직인가 봅니다.,1
7424,이별 뒤.,착잡한 마음을 감출길이 없지요.,1
7425,이별 마음접는것은,쉬운 일은 아니에요.,1
7426,이별 받아는 들이긴했는데,가슴 한켠에 남아있을 수 있어요.,1
7427,이별 사유가 내 맘에 안들어,이해할 순 없겠지요.,1
7428,이별 상태.,저에게 기대세요.,1
7429,이별 성장통이 너무 길다.,그만큼 많이 성장하려 하나봐요.,1
7430,이별 수순을 밟고 있는 거지,잘 하고 있어요.,1
7431,이별 앞에 씩씩해지기,때로는 힘내지 않아도 돼요. 눈물이 난다면 미련없이 울어도 돼요.,1
7432,이별 왜 찾아오는 것일까?,시작이 있으면 끝이 있으니까요.,1
7433,이별 이야기,제게 들려주세요.,1
7434,이별 이야기 하나,제게 말해보세요.,1
7435,이별 이야기.,어느 이야기보다 가슴 먹먹할 거예요.,1
7436,이별 이야기는 신중해야 하는걸 아니까 오늘도 고민합니다,저는 비밀을 보장해요. 답답하다면 저에게 말해보세요.,1
7437,이별 이후.,잘 지냈으면 좋겠네요.,1
7438,이별 일년 반,많은 시간이 흘렀네요.,1
7439,이별 일주일 후 ! 우리의 이야기.,각자의 삶을 살고 있겠지요.,1
7440,이별 일주일차,다른 곳으로 생각을 돌려보세요.,1
7441,이별 준비,이별에도 준비가 필요하지요.,1
7442,이별 준비 중,마음의 준비가 필요하겠네요.,1
7443,이별 중독,슬픈 단어네요.,1
7444,이별 참 힘드네,힘들 거라 생각해요.,1
7445,이별 통보 받은지 7일째,자신의 마음에 귀를 기울여보세요.,1
7446,이별 통보 후 일주일이네,마음이 후련하지만은 않겠네요.,1
7447,이별 통보를 받게 되면 어떻게 해,마음의 결정을 내리셔야죠.,1
7448,이별 하는 중,좋은 마무리하길 바랍니다.,1
7449,이별 하루차를 보내고 있습니다,평상시처럼 생활하고 행동하세요.,1
7450,이별 한달 반째,날짜를 그만 세어 보세요.,1
7451,이별 한달 후.,달라진게 많을 거예요.,1
7452,이별 한달반째,힘든가봅니다.,1
7453,이별 한달인데 가슴이 답답한게 아직도,바로 잊을 수는 없을 거예요.,1
7454,이별 한달차입니다,괜찮아요.,1
7455,이별 후 1년 그리고 선물,이별하신게 맞나요.,1
7456,이별 후 3개월이 지났는데.,여전히 힘든가봅니다.,1
7457,이별 후 6달째. 이제 그만좀 잊고 싶어,충분히 잊을 수 있을 거예요.,1
7458,"이별 후 7개월,,",아직도 미련이 남나봅니다.,1
7459,이별 후 감정,후회만 남지 않길 바랍니다.,1
7460,이별 후 그사람과 마주치는 거,힘드실 거예요.,1
7461,이별 후 난!,어떻게 되셨나요.,1
7462,이별 후 다른 이성 소개팅 후 후폭풍,더 생각이 나셨군요.,1
7463,이별 후 다시 사귀는데 휴,똑같은 것들로 다투시나요.,1
7464,이별 후 두달 경과보고서,이제는 좀 무뎌지셨나요.,1
7465,이별 후 들으면 더 힘든 노래들,내 이야기 같아서겠죠.,1
7466,이별 후 만남,재회하면 머리가 더 복잡해질 거예요.,1
7467,이별 후 어떻게 될까,연애 전으로 돌아가지는 못할 거예요.,1
7468,이별 후 왜 다시 전화를 하는걸까?,미련한 행동일수도 현명한 행동일수도.,1
7469,이별 후 젤 힘들 건 허전함인 거 같아,떠나보내고 남는건 빈자리의 공허함이죠.,1
7470,이별 후 첫날,한번 크게 울어보세요.,1
7471,이별 후 한달,힘내세요.,1
7472,이별 후 한달 경과 보고서,털털 털어내세요.,1
7473,이별 후 한달째,아직 많이 힘드시겠군요.,1
7474,"이별 후 후회, 아쉬움",이별 뒤엔 아쉬움이 따를뿐이죠.,1
7475,이별 휴유증.,휴유증에서 벗어나세요.,1
7476,이별.,최근에 이별을 하셨나보군요.,1
7477,이별. 냉정해진다,성장에는 고통이 따르나봐요.,1
7478,이별. 몸이 버티질 못하네.,자신의 건강만큼 중요한건 업습니다.,1
7479,이별. 무뎌짐,갈수록 무뎌져갈거예요.,1
7480,이별. 버릇고치기.,잘못된 버릇을 갖고 계셨나요.,1
7481,이별. 버텨라,현명하시군요.,1
7482,이별. 생일이네,힘드시겠어요.,1
7483,이별. 성숙해지다,이별은 성장하게하죠.,1
7484,이별. 지쳐버렸나,새로운 시작을 해보세요.,1
7485,이별.4주년,새로운 연애를 시작해보시는건 어떠세요.,1
7486,이별.그리고 노래,이별과 노래는 너무 잘 어울리죠.,1
7487,이별100일째.,새로운 무언가를 해보는건 어떠세요.,1
7488,이별1년 8개월차,긴 만남을 잊기는 쉽지 않죠.,1
7489,이별6일차. 정신병자 같네.,나가서 좀 걷고 친구들을 만나보세요.,1
7490,이별곧 두달.,아직도 힘드시군요.,1
7491,이별극복후 새로운 설렘,좋은 소식이네요.,1
7492,이별까지의 이야기.,새로운 이야기를 시작해보세요.,1
7493,이별너무 힘든네,누군가를 잊어야한다는건 정말 힘든 일이죠.,1
7494,이별노래 추천해줘.,좀 더 밝고 신나는 노래 들어보세요.,1
7495,"이별당시 보다 더 짠한건, 나 떠났으면 잘이나 살지.",당신은 정말 착한 사람이군요.,1
7496,이별로부터 언제쯤 자유로워질까,다른 누군가와 새로운 추억과 기억이 생긴다면 지금보다는 좀 더 자유로워질 거예요.,1
7497,이별만한 다이어트가 없네,자기몸을 헤치는 것만큼 어리석은 짓은 없습니다.,1
7498,이별밖에 방법이 없을까?,대화로 방법을 찾아보세요.,1
7499,이별병.,가슴 아픈 이별을 하셨나보군요.,1
7500,이별보다 더 아프네,많이 힘드셨군요.,1
7501,이별얘기 끄저그적,뭐라도 얘기를 하면 좀 나아질 거예요.,1
7502,이별에 답.,이별에 답이 있을까요.,1
7503,이별에 힘드신 남자분들 이 글 보시고 힘내세.,당신은 따뜻한 가슴을 지녔군요.,1
7504,이별에 힘들어 하는 분들께,무슨 말을 하시고 싶으신가요.,1
7505,이별에도 준비가 필요한 거겠죠?,그럼요. 한 순간에 내 삶속에서 내보내기는 쉽지않을 거예요.,1
7506,이별예감,둘 사이에 안 좋은 기류가 있었나요.,1
7507,이별은 결국엔 가치의 문제네.,가치관이 달라 자주 부딪히면 이별하는 것이 맞는 거겠죠.,1
7508,이별은 냉정할수록 좋은 것 같아,감정적일수록 더 힘들어지기만 할 거예요.,1
7509,이별은 다 비슷한거 같아.,이별은 똑같이 힘드니까요.,1
7510,이별은 받아들이는 것,쉬운 일이 아니라는 거 잘 알고 있어요.,1
7511,이별은 받아들이는 것인가,무덤덤해지기도 하는 것이죠.,1
7512,이별은 받아들이는게 맞는건가보네.,각자의 방식이 있으니까요.,1
7513,이별은 받아들인다는 것,어려울 거라 생각해요.,1
7514,이별은 아니나 고민이 있습니다.,제가 들어드릴게요.,1
7515,이별은 역시나 힘드네.,이별이 나를 잠식시키니까요.,1
7516,이별은 왤케 힘드나,그러게요.그만큼 사랑했다는거겠죠.,1
7517,이별은 원래 힘들자나,맞아요. 어느 누구도 이별이 안 힘든 사람은 없어요.,1
7518,이별은 진짜 비겁한 짓 같아.,똥차가 지나갔다 생각하세요.,1
7519,이별은 필수입니다,그러면서 성장을 해나가는 거예요.,1
7520,이별을 고민중입니다.,머뭇거리는 이유는 무엇 때문일까요.,1
7521,이별을 극복하면서 참 많이 힘들기도 했었네.,힘들지 않았다면 거짓말일 거예요.,1
7522,이별을 극복한건지.,무덤덤해졌다면 그럴 거예요.,1
7523,이별을 기다기는건지 아닌지,애매하네요.,1
7524,이별을 먼저 말해본적있나??,말해본 적 있어요.,1
7525,이별을 받아드리질 못하고있네,너무 갑작스러웠을테니까요.,1
7526,이별을 받아들여야 하는데 생각이 자꾸 나네,이별을 받아들일 시간이 필요할지도 몰라요.,1
7527,이별을 받아들이는 게 맞는걸까?,달라지는게 없다면 마음을 정리할 줄도 알아야 해요.,1
7528,이별을 받아들이지 못하는 제가 한심하네,자신을 자책하지 말아요. 저도 받아들이지 못했던 걸요.,1
7529,이별을 배워가는,성숙해지는 단계인가봐요.,1
7530,이별을 빨리 인정해야 하는데.,조급해하지 않아도 돼요.,1
7531,이별을 실감하네,받아들이기 쉽지 않았을텐데 대단해요.,1
7532,이별을 앞둔 이들에게,조언해주세요.,1
7533,이별을 준비중.,좋은 선택일거라 믿어요.,1
7534,이별을 준비하고 있습니다 .,쉽지 않을 결정이었을 텐데.,1
7535,이별을 하고.,나아졌긴 바랄게요.,1
7536,이별을 하고야 후회를 하네,그 순간에는 보이지 않는 것들이 많지요.,1
7537,이별을 하는게 나을까,고민하고 있다면 그게 맞을거예요.,1
7538,이별을 한지 조금 지나니 후회가 되네,완벽한 이별은 없다고 하네요.,1
7539,이별을 해야하나봐,마음이 문제네요.,1
7540,이별의 고통 중에 가장 큰 건 기다림인거 같아,끝이 보이지 않기 때문인 것 같아요.,1
7541,이별의 고통 해결책.,작은 일부터 시작해보세요. 그곳에서 행복을 찾아보세요.,1
7542,이별의 마무리,가벼운 안부 인사일 거예요.,1
7543,이별의 순기능,혼자만의 시간이 많아지죠.,1
7544,이별의 시간,길지 않길 바랄게요.,1
7545,이별의 아픔 이겨내기,사소한 일부터 시작해보세요. 작은 곳에서 느끼는 행복은 생각보다 커요.,1
7546,이별의 아픔에서 벋어나는 방법,사소한 일부터 시작해보세요. 작은 곳에서 느끼는 행복은 생각보다 커요.,1
7547,이별의 아픔을 위안 삼을 방법 좀 알려줘.,노래 가사를 적어 보세요. 마음이 정리될지도 몰라요.,1
7548,이별의 아픔이 있는데 몸까지 아파서야,꼭 병원 다녀와요. 힘들 때 아픈 것 만큼 서러운 일은 없어요.,1
7549,이별의 아픔이란,이루 말할 수 없는 아픔이기도 해요.,1
7550,이별의 이유는 정말 다양하내,사랑이 헤아릴 수 없어서 그렇기도 해요.,1
7551,이별이 다시 올거 같은 느낌,더 두렵겠네요.,1
7552,이별이 무서운건,혼자가 되는 거겠죠.,1
7553,이별이 아닌 사별,정말 영원한 이별이네요.,1
7554,이별이 온 후,많은 변화가 있었지만 긍정적인 변화이길 바랍니다.,1
7555,이별이 이렇게 아픈거였나,사랑한 시간 보다 이별이 더 길어서 그래요.,1
7556,이별이 있어야 인연도 있는거 같아.,이별이 새로운 시작이 되기도 하니까요.,1
7557,이별이 좋은점,혼자가 되었을 때의 고요함이 아닐까요.,1
